ID;Text;Question;Answer
898;Por este motivo, diferentes áreas han participado en un programa formativo diseñado para mejorar la gestión de las reclamaciones y para familiarizarse con la nueva herramienta que apoya la gestión de las mismas.;¿Qué ha ocurrido por este motivo? ;diferentes áreas han participado en un programa formativo diseñado para mejorar la gestión de las reclamaciones y para familiarizarse con la nueva herramienta que apoya la gestión de las mismas
4320;Dado que los riesgos psicosociales y las enfermedades mentales son temas que cada vez impactan más en las empresas y en la sociedad en general, también en la empresa se considera un asunto que debe abordarse.;¿Qué provocó que en la empresa también se considere un asunto que debe abordarse?;los riesgos psicosociales y las enfermedades mentales son temas que cada vez impactan más en las empresas y en la sociedad en general
3769;El deterioro del valor de los activos financieros del ejercicio incluyó las minusvalías latentes, de 1.123 millones de euros, procedentes de la participación del Grupo BBVA en el capital de Telefónica, S.A., como consecuencia de la evolución de la cotización de esta última y en cumplimiento a lo requerido por la normativa contable NIC 39.;¿Qué consecuencia tuvo la evolución de la cotización de Telefónica, S.A.?;El deterioro del valor de los activos financieros del ejercicio incluyó las minusvalías latentes, de 1.123 millones de euros, procedentes de la participación del Grupo BBVA en el capital Tel en cumplimiento a lo requerido por la normativa contable NIC 39
2953;Esta operación no supone ni afecta al perímetro de consolidación, ya que el Grupo mantiene el mismo porcentaje de participación.;¿Cuál es la causa de que esta operación no suponga ni afecte al perímetro de consolidación?;el Grupo mantiene el mismo porcentaje de participación
2671;"otras aportaciones en las que Atresmedia ha estado involucrado en 2016:  Colaboración con el Ministerio y con la Comisión Nacional de los Mercados y la Competencia (CNMC) en la aportación de los datos trimestrales de emisiones accesibles para el control de los cumplimientos legales (LGCA Ley 7/2010).  Gracias a un acuerdo con Ericsson Redbeemedia para adaptar el software ""Time machine"", en marcha desde el verano 2016 en la cadena BBC, se está trabajando en la mejora del retardo de los subtítulos en directo.  Continuación de la colaboración con la web de Atresmedia para ofrecer emisiones subtituladas de sus contenidos grabados.  Inversión en el subtitulado de un paquete de películas de estreno para el 2017 de más de 100 títulos.";"¿Qué ha permitido un acuerdo con Ericsson Redbeemedia para adaptar el software ""Time machine"", en marcha desde el verano 2016 en la cadena BBC?";se está trabajando en la mejora del retardo de los subtítulos en directo Continu de la colaboración con la web de Atmedia para ofrecer emisiones subtituladas de sus contenidos grabados Inversión en el subtitulado de un paquete de películas de estreno para el 2017 de más de 100 títulos
22;En materia de emisiones atmosféricas, también podemos destacar el estricto cumplimiento de los niveles establecidos por parte de nuestros centros de producción e I+D. Los procesos de producción farmacéutica en particular han reducido el uso de disolventes en un 84 % en los últimos años gracias a la reformulación de especialidades. A modo de ejemplo, cabe mencionar una reducción del 60 % en el uso de cloruro de metileno desde 2012, en el marco de un programa continuado dirigido a obtener la eliminación total de su uso en un futuro cercano.;¿Qué resultados ha producido la reformulación de especialidades?;Los procesos de producción farmacéutica en particular han reducido el uso de disolventes en un 84 % en los últimos años el uso cloruro metileno
187;Gracias a este impulso, Bankinter Consumer Finance volvió a ser la entidad bancaria que más creció en el mercado, y se sitúa ya en el cuarto puesto del ranking de entidades especialistas, según los datos de la Asociación Nacional de Establecimientos Financieros de Crédito (Asnef) Al avance experimentado por Bankinter Consumer Finance contribuyeron de forma determinante dos factores: la tradicional experiencia del banco en la gestión de riesgos y el desarrollo de un ambicioso plan de mejora de equipos y tecnología.;¿Qué efecto tuvo el impulso para Bankinter Consumer Finance?;Bankinter Consumer Finance volvió a ser la entidad bancaria que más creció en el mercado, y se sitúa ya en el cuarto puesto del ranking de entidades especialistas : la tradicional experiencia del banco en la gestión de riesgos y el desarrollo de un ambicioso plan de mejora de equipos y tecnología
756;En relación a la información no ﬁnanciera, dado que Gas Natural Fenosa gestionó dichos negocios durante 2017, a pesar del proceso de desinversión, se incluyen las magnitudes relativas a dichos negocios, excepto cuando se especiﬁque que son magnitudes a cierre de ejercicio, en cuyo caso estos negocios no se consideran.;¿Por qué se incluyen magnitudes a dichos negocios en la información no financiera?;Fenosa desinversión cierre de ejercicio
2421;El hueco térmico es la energía que debe suministrarse mediante centrales térmicas convencionales y su influencia sobre los precios del mercado es muy importante ya que son estas tecnologías las que tradicionalmente marcan el precio del mercado.;¿Por qué el hueco térmico es la energía que debe suministrarse mediante centrales térmicas convencionales?;su influencia sobre los precios del mercado es muy importante son estas tecnologías las que tradicionalmente marcan el precio del mercado
123;Como resultado de la consulta con los grupos de interés, Inditex ha identificado 30 asuntos relevantes que son la base del desarrollo de la Memoria Anual, tal y como se refleja en los indicadores de la guía G4 a continuación.;¿Qué resultado ha tenido la consulta con los grupos de interés?;Inditex ha identificado 30 asuntos relevantes que son la base del desarrollo de la Memoria Anual, tal G
